code,name,2012_Population,2012_Deaths,2012_Standardised_death_rate,2013_Population,2013_Deaths,2013_Standardised_death_rate,2014_Population,2014_Deaths,2014_Standardised_death_rate,2015_Population,2015_Deaths,2015_Standardised_death_rate,2016_Population,2016_Deaths,2016_Standardised_death_rate,2017_Population,2017_Deaths,2017_Standardised_death_rate,2018_Population,2018_Deaths,2018_Standardised_death_rate,2019_Population,2019_Deaths,2020_Population,2020_Deaths,2019_Standardised_death_rate,2020_Standardised_death_rate
102011028,Avoca Beach - Copacabana,7362,20,3.6,7428,13,,7502,21,2.5,7562,32,2.9,7626,23,3.2,7676,22,3.3,7733,24,2.9,7803.14285714286,26.7142857142853,7865.03571428571,27.8571428571422,3.37142857142857,3.55714285714288
102011029,Box Head - MacMasters Beach,10748,61,3.8,10810,60,3.8,10871,92,4.2,10933,50,4.1,10995,66,4.1,11030,55,3.4,11112,64,3.5,11165,60.1428571428573,11224.1428571429,59.1785714285716,3.58571428571429,3.52142857142857
102011030,Calga - Kulnura,4632,21,4.7,4691,30,4.8,4746,20,4.6,4799,25,4.7,4858,27,4.4,4890,32,4.8,4938,23,4.3,4997.42857142855,27.8571428571427,5048.42857142855,28.4642857142853,4.41428571428573,4.36428571428571
102011031,Erina - Green Point,14122,203,7.1,14186,181,5.6,14243,266,6,14285,294,6.6,14342,282,7.1,14347,305,7.5,14384,284,7.7,14445.1428571429,331.714285714283,14488.25,349.821428571428,7.75714285714281,7.99642857142857
102011032,Gosford - Springfield,18932,265,8,18998,268,9.4,19046,218,8.7,19194,168,7.7,19382,163,6.4,19497,156,5.6,19653,166,5.6,19742.7142857143,118.285714285717,19867.6071428571,97.7142857142899,4.89999999999986,4.2892857142856
102011033,Kariong,6640,18,,6643,20,4.7,6633,26,4.7,6607,15,,6586,21,4.2,6567,21,3.9,6583,20,4.2,6555.57142857143,20.5714285714285,6542.35714285715,20.6785714285713,4.59999999999991,4.97499999999991
102011034,Kincumber - Picketts Valley,7365,90,5.8,7400,96,5.6,7425,122,5.7,7448,114,6.3,7483,122,6.6,7484,102,6.3,7531,110,6,7551.42857142857,118.285714285714,7577.28571428571,120.857142857142,6.45714285714283,6.56071428571426
102011035,Narara,6747,33,4.1,6779,24,4,6798,27,4.4,6822,35,4.4,6848,31,4.6,6872,18,,6904,30,4.3,6925.2857142857,25.8571428571431,6950.53571428571,25.2500000000002,2.65714285714296,2.40000000000009
102011036,Niagara Park - Lisarow,8277,29,4.7,8264,38,4.7,8243,52,5.3,8215,49,6,8201,56,6,8175,72,6.5,8152,72,7,8133.14285714287,81.285714285712,8111.89285714287,88.4642857142826,7.34285714285704,7.74285714285713
102011037,Point Clare - Koolewong,6485,91,7.2,6465,76,6.9,6438,82,7.2,6410,85,7.1,6389,71,7.2,6343,75,7.1,6308,91,8,6287.71428571429,79.7142857142859,6258.28571428572,79.2500000000002,7.64285714285714,7.74285714285716
102011038,Saratoga - Davistown,6899,42,4.1,6975,44,4.1,7072,35,3.7,7129,43,3.8,7195,37,3.5,7234,41,3.6,7307,40,3.6,7382.2857142857,38.8571428571429,7448.89285714286,38.5,3.3857142857143,3.28928571428571
102011039,Terrigal - North Avoca,13328,44,3.1,13445,47,3,13549,51,2.9,13765,55,3.2,13939,54,3.3,14086,58,3.4,14281,59,3.3,14417.7142857143,62.5714285714285,14579.5357142857,65.0714285714285,3.42857142857142,3.49285714285713
102011040,Umina - Booker Bay - Patonga,23408,282,6.5,23530,255,6.3,23722,282,6.1,23958,297,6.1,24235,302,6.3,24457,272,6.2,24672,296,6.2,24877.2857142857,297.428571428571,25097.25,300.857142857142,6.11428571428573,6.08214285714287
102011041,Wamberal - Forresters Beach,9623,42,3.4,9709,31,3.2,9786,47,3.6,9861,37,3.4,10069,35,3.4,10238,34,2.9,10323,42,2.8,10435.7142857143,37.4285714285714,10558.6071428571,37.2142857142858,2.8714285714286,2.77857142857144
102011042,Woy Woy - Blackwall,13740,166,6,13843,182,6.3,13943,202,6.7,14070,180,6.7,14216,176,6.5,14369,170,6.1,14469,200,6.5,14594.5714285714,189.714285714285,14720,191.571428571428,6.52857142857142,6.56071428571428
102011043,Wyoming,11577,178,8.5,11629,203,8.1,11677,231,8.4,11722,208,8.9,11773,209,8.8,11777,205,8.6,11829,187,8.6,11876,204.285714285714,11917,204.607142857142,8.8,8.8607142857143
102021044,Bateau Bay - Killarney Vale,22099,310,7.6,22175,314,7.3,22270,350,7.6,22365,313,7.7,22478,304,7.6,22541,271,7.1,22621,306,6.9,22722.1428571428,289.142857142857,22811.6428571428,284,7.04285714285714,6.95357142857142
102021045,Blue Haven - San Remo,11121,49,6.5,11155,50,6,11186,53,5.3,11237,48,5.1,11302,54,5.1,11364,72,5.7,11415,39,5.3,11456.5714285714,54.2857142857142,11507.1428571429,54.8214285714287,4.94285714285712,4.78571428571428
102021046,Budgewoi - Buff Point - Halekulani,9269,83,5,9347,75,5,9419,68,4.9,9495,81,4.9,9590,73,4.8,9662,82,5.1,9735,86,5.1,9816.57142857142,82.2857142857145,9895.10714285713,83.2857142857145,5.02857142857143,5.04285714285714
102021047,Chittaway Bay - Tumbi Umbi,15746,119,6.4,15754,131,6.2,15748,144,5.9,15739,124,5.9,15744,162,6.1,15732,150,6.2,15762,118,6.2,15746.4285714286,143,15746.4285714286,144.892857142856,6.07142857142858,6.05714285714286
102021048,Gorokan - Kanwal - Charmhaven,21607,293,8.1,21892,304,7.9,22095,304,7.7,22314,298,7.7,22584,343,7.8,22669,337,7.9,22802,326,8,23084.4285714285,344.142857142855,23285.4285714285,351.428571428569,7.84285714285715,7.83571428571429
102021049,Jilliby - Yarramalong,3203,20,,3269,12,,3321,11,,3369,14,,3423,13,,3469,14,,3530,18,,3580.99999999999,14.5714285714287,3633.96428571428,14.5714285714287,0,0
102021050,Lake Munmorah - Mannering Park,10501,83,5.5,10611,87,5.1,10714,89,4.7,10808,101,5.1,10925,101,5.1,11039,82,4.8,11172,89,4.4,11264.2857142857,93.1428571428569,11374.2857142857,93.8571428571427,4.45714285714286,4.33214285714286
102021051,Ourimbah - Fountaindale,4972,16,,4985,13,,4998,22,3.8,5005,9,,5014,10,,5016,20,2.8,5023,19,,5034.85714285714,17.142857142857,5043.10714285714,17.5357142857141,1.19999999999996,1.26428571428568
102021052,Summerland Point - Gwandalan,5598,43,5.4,5671,33,5,5741,30,4.9,5818,39,4.6,5897,31,4.3,5957,27,4.1,6072,39,4,6129.14285714281,31.2857142857145,6205.92857142855,30.464285714286,3.67142857142864,3.43571428571437
102021053,The Entrance,14580,115,4.8,14748,121,5.1,14931,103,5.1,15182,103,4.7,15383,99,4.2,15569,116,4.2,15735,134,4.4,15955.2857142856,119.142857142857,16153.8214285714,120.678571428571,4.08571428571429,3.94642857142861
102021054,Toukley - Norah Head,9428,164,7.9,9559,148,7.4,9715,150,7.5,9853,192,7.6,10040,196,8.2,10170,152,8.1,10296,144,7.5,10458.8571428571,162.857142857143,10607.1071428571,162.642857142857,7.87142857142857,7.90357142857143
102021055,Tuggerah - Kangy Angy,5344,43,8.6,5361,68,9.4,5387,59,9.9,5409,48,10,5442,49,8.8,5452,40,7.8,5465,55,8.1,5494.28571428571,47.4285714285716,5515.71428571428,46.3571428571427,8.1142857142857,7.90714285714284
102021056,Warnervale - Wadalba,13294,81,6.4,13777,95,6.2,14389,115,6.6,15004,123,7.2,15637,126,7.7,16440,164,8.4,17066,183,9.7,17642.4285714284,191.714285714283,18281.357142857,207.964285714283,9.65714285714284,10.2071428571428
102021057,Wyong,8516,39,4.8,8646,54,5.1,8769,49,4.8,8886,57,5.3,9015,65,5.4,9114,64,5.8,9222,60,5.7,9352.57142857145,69.5714285714285,9470.42857142858,73.1071428571422,5.94285714285712,6.11071428571427
115011290,Baulkham Hills (East),22370,108,4.8,22628,112,4.7,22941,116,4.6,23270,177,5.2,23711,146,5.4,24434,129,5.3,24638,152,4.8,25025.4285714284,162.285714285714,25424.9285714284,169.285714285714,5.25714285714287,5.32857142857145
115011291,Baulkham Hills (West) - Bella Vista,19688,58,4.1,19901,43,3.7,20176,53,3.5,20555,66,3.7,20853,49,3.6,21404,57,3.5,21666,63,3,21979.9999999999,61.1428571428569,22323.4642857142,62.5357142857142,3.07142857142861,2.94285714285718
115011294,Glenhaven,6160,40,4.6,6256,41,4.2,6325,37,4.3,6403,38,4.1,6501,52,4,6544,48,3.9,6545,58,4.1,6663,56.7142857142844,6731.10714285716,59.6785714285707,3.82857142857148,3.74285714285719
115011296,West Pennant Hills,13121,43,4.6,13150,34,4.3,13168,40,3.6,13175,55,3.8,13184,51,4.1,13213,50,4.3,13218,50,4.2,13237.4285714286,55.2857142857147,13252.8928571429,57.5714285714285,4.02857142857145,4.00357142857146
115011553,Castle Hill - Central,7603,25,4.8,7663,25,4.1,7724,33,4.4,7774,21,4.1,7832,31,4.4,7929,25,3.7,7949,22,3.7,8021.71428571428,24.4285714285716,8081.64285714284,24.0357142857145,3.58571428571435,3.43928571428575
115011554,Castle Hill - East,5816,40,2.7,5806,46,2.3,5781,76,,5770,92,,5754,192,,5663,217,6,5591,224,,5599,270.999999999985,5563.71428571429,307.07142857142,1.47142857142859,1.4464285714286
115011555,Castle Hill - North,12006,46,4.6,12103,43,4.5,12173,40,3.4,12242,39,3.2,12312,47,3.3,12417,39,3.2,12504,39,3.1,12574,38.714285714286,12654.75,37.9285714285718,2.58571428571429,2.32857142857142
115011556,Castle Hill - South,9360,26,3.5,9508,36,3.6,9655,34,3.6,9793,27,3.6,9943,39,3.5,10042,40,3.6,10143,38,3.9,10307,41.2857142857138,10439.3214285714,43.0357142857138,3.77142857142857,3.81071428571428
115011557,Castle Hill - West,5333,9,,5358,9,,5384,13,,5410,13,,5443,7,,5444,9,,5501,13,,5515.42857142857,11.2857142857142,5541.67857142857,11.4999999999999,0,0
115011558,Cherrybrook,19650,246,10.8,19603,280,11.4,19588,262,10.4,19518,198,9.5,19460,134,7.3,19522,127,5.8,19440,100,4.7,19408.7142857143,67.8571428571522,19375.8571428571,36.7142857142899,3.90000000000009,2.73571428571449
115011559,Kellyville,19866,38,4.3,20619,42,3.9,21650,39,3.5,22821,57,3.8,24065,45,3.4,25360,87,4.4,26275,113,5.8,27397.1428571427,105.999999999996,28508.7142857141,117.464285714283,4.92857142857145,5.12142857142857
115021297,Dural - Kenthurst - Wisemans Ferry,21155,122,5.1,21279,122,4.9,21400,128,4.9,21522,129,4.8,21649,120,4.7,22013,130,4.6,22246,128,4.4,22321.9999999999,129.285714285714,22500.2142857142,130.214285714286,4.35714285714289,4.25357142857146
115021298,Galston - Laughtondale,5307,44,4.6,5317,41,4.7,5338,50,4.9,5353,49,5,5367,52,5,5374,41,4.6,5360,50,4.6,5388.28571428571,49.5714285714285,5399.07142857143,50.2857142857142,4.75714285714285,4.75357142857142
115031299,Bilpin - Colo - St Albans,2730,13,,2746,17,,2761,10,,2777,19,,2795,13,,2801,17,,2790,20,,2817.71428571429,18.9999999999995,2829.28571428571,19.8571428571424,0,0
115031300,Kurrajong Heights - Ebenezer,22127,73,4.5,22178,85,4.5,22238,94,4.4,22341,95,4.8,22476,100,4.9,22498,112,5.3,22647,92,5.2,22706.1428571428,109.714285714284,22793.2142857143,113.892857142857,5.39999999999998,5.54999999999996
115041301,Pitt Town - McGraths Hill,9594,40,5.1,9901,42,5,10190,43,4.8,10504,43,5,10822,47,4.9,11080,38,4.3,11296,43,4.1,11640.4285714286,43,11929.5714285715,43.1785714285714,4.12857142857143,3.97500000000002
115041302,Rouse Hill - Beaumont Hills,19363,45,4.8,20020,36,4.1,20806,45,4.2,21958,44,4,23442,37,3.7,25138,44,3.3,27828,46,3.1,28117.4285714286,43.9999999999999,29484.1071428568,44.3928571428571,2.85714285714278,2.59999999999991
116011303,Blacktown (East) - Kings Park,16447,80,6.2,16716,85,6,16963,106,6.2,17225,101,6.5,17519,106,6.6,17804,98,6.3,17888,113,6.5,18230.9999999999,116.285714285714,18482.9642857143,120.749999999998,6.59999999999999,6.66785714285714
116011304,Blacktown (North) - Marayong,17636,110,6.6,17867,102,6.2,18089,101,5.8,18335,102,5.4,18627,112,5.5,19125,123,5.6,19414,125,5.9,19640.1428571428,124.714285714284,19939.7142857142,128.214285714284,5.34285714285716,5.21428571428572
116011306,Doonside - Woodcroft,20602,81,6.2,21020,90,5.8,21745,87,5.6,22556,89,5.7,23273,117,6.1,24106,96,6.1,24703,87,5.9,25429.7142857143,100.999999999999,26144.107142857,103.142857142857,5.94285714285715,5.95000000000001
116011307,Lalor Park - Kings Langley,24983,199,7.7,25157,178,7.5,25320,196,7.3,25466,161,6.6,25646,148,6.2,25875,152,5.5,25980,166,5.5,26168.5714285714,143,26338.3214285714,135.892857142857,4.94285714285718,4.52499999999998
116011308,Seven Hills - Toongabbie,23690,92,5.4,23902,115,5.2,24150,105,4.9,24457,122,5.2,24783,110,5,25392,92,4.8,25742,114,4.4,25983.5714285714,110.714285714285,26332.4642857142,111.607142857142,4.45714285714291,4.32500000000005
116011560,Blacktown (South),12098,42,5.3,12256,43,4.2,12468,43,3.9,12601,55,4.2,12752,54,4.6,12951,63,5,13006,51,4.8,13218.5714285714,61.2857142857138,13375.6428571428,64.0714285714284,4.6857142857143,4.71428571428573
116011561,Blacktown (West),15808,102,5.8,16017,102,5.8,16184,83,5.5,16387,93,5.2,16648,104,5.1,16760,115,5.5,16867,92,5.3,17113.9999999999,101.142857142857,17297.1071428571,101.75,5.10000000000005,5.01071428571433
116021309,Glenwood,16098,32,6.1,16226,30,5.3,16397,27,4.4,16543,23,3.5,16668,29,3.1,16768,36,3.2,16905,34,3.4,17054.4285714286,33,17189.2857142857,33.7142857142858,2.20000000000016,1.71428571428589
116021310,Parklea - Kellyville Ridge,25515,47,6.5,28788,49,5.2,31413,46,4.4,33099,68,3.8,33807,60,3.8,34583,88,4.9,35469,84,5.4,38074.2857142855,92.1428571428569,39640.2142857141,99.3928571428569,4.21428571428572,4.05357142857145
116021312,Riverstone - Marsden Park,11993,61,6.1,12383,66,5.9,12839,60,5.7,14393,58,5.4,17811,58,5,21601,55,4.4,26630,67,4.2,26424.1428571418,59.857142857143,28828.3928571427,59.6428571428572,3.89999999999998,3.56428571428569
116021562,Acacia Gardens,3854,4,,3870,0,,3901,9,,3943,12,,3962,8,,3960,7,,3964,5,,4003.57142857142,8.71428571428578,4023.96428571428,9.28571428571422,0,0
116021563,Quakers Hill,23041,47,6.4,23160,40,5.5,23309,78,4.5,23480,93,5.8,23687,68,6.4,24064,101,6.9,24280,72,6,24417.7142857143,97.9999999999982,24628.5357142857,104.678571428571,6.42857142857145,6.55357142857145
116031313,Bidwill - Hebersham - Emerton,19173,103,9.9,19116,92,8,19049,105,7.5,18994,105,7.2,18948,113,7.6,18935,119,7.8,18968,97,7,18872.1428571429,111.142857142856,18833.6428571429,112.714285714285,6.57142857142867,6.25000000000011
116031314,Glendenning - Dean Park,8459,47,8.6,8500,44,8.6,8541,34,9.1,8584,43,8.8,8645,42,8.3,8708,41,8.7,8736,52,9,8789.14285714284,45.7142857142856,8837.39285714284,46.3214285714285,8.81428571428572,8.83571428571429
116031315,Hassall Grove - Plumpton,20438,57,6,20634,46,5.5,20884,64,5.3,21083,61,5,21315,74,5.9,21517,74,6.1,21932,73,6,22068.8571428571,80.4285714285707,22307.3928571428,84.5,5.94285714285711,6.00714285714285
116031316,Lethbridge Park - Tregear,17110,84,7.9,17903,105,7.2,18867,97,6.9,20207,112,7.1,21283,99,6.8,21975,108,6.8,22477,109,6.4,23783.2857142852,113.857142857142,24735.4642857139,116.821428571428,6.24285714285719,6.05000000000001
116031317,Mount Druitt - Whalan,22727,108,6.3,22921,71,5.7,23077,103,5.9,23240,96,5.6,23501,101,6.2,23758,112,5.9,23911,99,5.8,24112.1428571428,106.142857142857,24313.9285714285,108.035714285714,5.80000000000001,5.77142857142858
116031318,Prospect Reservoir,25,0,,30,0,,34,0,,39,0,,44,0,,44,0,,44,0,,50.7142857142844,0,54.1071428571422,0,0,0
116031319,Rooty Hill - Minchinbury,20591,153,8.4,20958,198,8.7,21287,167,8.9,21546,186,9.4,21876,184,8.8,22134,192,9.2,22424,166,9.3,22750.857142857,184.285714285714,23052.2857142857,185.857142857142,9.47142857142856,9.59999999999999
117011320,Banksmeadow,15,0,,17,0,,18,0,,20,0,,21,0,,21,0,,21,0,,23.1428571428569,0,24.1785714285711,0,0,0
117011321,Botany,9521,82,8.9,9776,78,8.9,10165,75,7.6,10625,84,7.7,11281,86,8,11697,82,8.1,12439,75,7.7,12745.1428571426,80.0000000000001,13234.8571428569,79.9285714285715,7.44285714285718,7.2714285714286
117011322,Mascot - Eastlakes,21368,114,5.3,21871,123,5.6,22703,114,5.3,23848,114,5.2,25605,117,5,26974,102,4.6,27999,108,4.3,29052.7142857141,105,30231.3214285714,102.964285714286,4.28571428571428,4.09642857142859
117011323,Pagewood - Hillsdale - Daceyville,11295,68,5.5,11465,79,5.6,11582,80,5.3,11688,85,5.6,11857,85,5.8,12034,85,5.9,12202,84,6,12322.4285714285,90.1428571428569,12470.0714285714,92.4642857142853,6.04285714285712,6.13571428571427
117011324,Port Botany Industrial,3,0,,3,0,,4,0,,6,0,,7,0,,7,0,,7,0,,8.57142857142821,0,9.39285714285666,0,0,0
117011325,Sydney Airport,25,0,,36,0,,46,0,,57,0,,67,0,,67,0,,67,0,,81.9999999999982,0,89.4642857142844,0,0,0
117021326,Marrickville,26379,181,6.7,26752,161,6.5,27188,198,6.3,27551,178,6.1,27923,151,5.7,28240,172,5.3,28604,165,5.1,29003.2857142857,161.857142857144,29374.2142857143,159.250000000001,4.84285714285716,4.5642857142858
117021327,Petersham - Stanmore,20185,88,5.5,20435,90,5.6,20698,94,5.6,21005,94,5.6,21342,91,5.6,21689,95,5.5,22093,74,5.1,22331.857142857,84.428571428572,22648.857142857,83.178571428572,5.3,5.25
117021328,Sydenham - Tempe - St Peters,7732,35,5.3,7855,27,5,7979,28,4.8,8113,30,4.3,8279,33,4.4,8413,39,4.8,8504,26,4.5,8658.14285714284,31.4285714285715,8791.42857142858,31.5000000000001,4.27142857142857,4.15714285714287
117031329,Darlinghurst,11251,33,5.7,11640,33,5.1,11867,42,4.7,12040,37,4.7,12242,46,5.1,12504,23,4.1,12728,33,3.7,12972.2857142857,33,13205.6428571428,32.4285714285713,3.64285714285711,3.37142857142851
117031330,Erskineville - Alexandria,15204,35,6.3,15750,39,6.5,16300,33,5.6,16835,30,5.2,17270,34,4.4,17797,32,3.9,18519,35,3.4,18954.857142857,32.1428571428572,19490.8928571427,31.6785714285716,2.88571428571436,2.34642857142876
117031331,Glebe - Forest Lodge,18118,64,4.9,18551,62,4.9,19023,74,4.8,19814,74,4.8,20830,69,4.8,21692,74,4.6,22458,75,4.3,23084.9999999998,77.7142857142858,23838.8928571425,79.5714285714285,4.3857142857143,4.30000000000001
117031332,Newtown - Camperdown - Darlington,23418,62,5.2,24026,58,5.4,24627,69,5.4,25487,73,5.5,26354,56,5.2,27627,50,4.6,28355,59,4,29090.5714285711,55.5714285714289,29938.4285714282,54.2142857142862,4.2714285714286,4.07857142857148
117031333,Potts Point - Woolloomooloo,20247,106,5.9,20763,108,5.7,21420,128,5.4,22055,120,5.3,22773,115,5.2,23681,135,5,24235,148,5.3,24903.857142857,146.714285714284,25587.892857143,152.678571428571,4.91428571428577,4.7928571428572
117031334,Pyrmont - Ultimo,20823,30,3.4,21416,32,3.3,21996,36,3.1,22498,37,3.1,23112,29,2.8,24118,29,2.5,24645,38,2.5,25227.7142857141,34.5714285714284,25870.0714285714,34.9642857142856,2.30000000000007,2.13571428571436
117031335,Redfern - Chippendale,18872,82,5.9,19906,98,6.2,21277,98,6.1,22756,85,6,23786,71,5.2,25204,81,4.8,26206,84,4.7,27587.7142857141,77.7142857142862,28841.5357142855,75.7500000000005,4.51428571428573,4.25357142857149
117031336,Surry Hills,16961,93,7.1,17103,98,6.9,17295,100,6.7,17514,84,6.2,17746,73,5.6,18048,94,5.4,18287,95,5.6,18467.5714285714,86.8571428571427,18693.25,85.8214285714285,4.98571428571427,4.67857142857145
117031337,Sydney - Haymarket - The Rocks,25763,39,3.6,26710,51,3.6,27792,50,3.2,28752,58,3.3,29636,50,3.1,30964,52,3.1,31682,47,2.9,32772.5714285711,53.285714285714,33776.4642857141,54.2142857142853,2.80000000000007,2.68571428571434
117031338,Waterloo - Beaconsfield,24217,124,6.2,25911,129,6.6,28526,118,6.5,32178,103,5.8,35154,136,5.6,37918,111,5.1,40251,111,5,43271.2857142845,110.714285714286,46083.5714285709,108.678571428572,4.75714285714287,4.48928571428564
118011339,Bondi - Tamarama - Bronte,19566,75,4.3,19587,58,3.9,19601,66,3.6,19622,89,3.9,19659,63,3.9,19949,66,3.9,20148,84,3.6,20094.2857142857,77.2857142857142,20184.5714285714,78.7142857142858,3.61428571428573,3.55000000000001
118011340,Bondi Beach - North Bondi,21362,62,4.5,21735,70,4.6,22072,75,4.2,22391,78,4.4,22771,74,4.3,23261,69,4.1,23669,65,3.7,23990.4285714284,71.2857142857141,24371.5714285714,71.4999999999998,3.78571428571433,3.6678571428572
118011341,Bondi Junction - Waverly,17195,134,5.6,17478,140,5.2,17724,112,4.9,17894,168,5,18061,140,4.9,18496,125,4.9,18614,143,4.6,18870.2857142857,141,19107.0714285714,141.892857142857,4.50000000000006,4.37142857142862
118011342,Centennial Park,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,3,0,0,0
118011343,Double Bay - Bellevue Hill,26115,146,3.7,26244,128,3.5,26387,148,3.2,26465,147,3.3,26545,159,3.5,26836,150,3.4,26998,135,3.3,27083,147.857142857143,27225.5357142857,148.642857142857,3.25714285714287,3.21785714285716
118011344,Dover Heights,11171,53,4.5,11252,63,4.3,11345,64,4,11429,60,4.2,11522,46,3.9,11594,65,3.7,11683,48,3.4,11770.4285714286,52.8571428571431,11856.0357142857,51.8214285714289,3.34285714285721,3.1785714285715
118011345,Paddington - Moore Park,15672,61,5.1,15840,69,5,16004,71,5,16163,78,5.1,16280,67,5.1,16564,68,4.8,16724,55,4.1,16875.2857142857,63.5714285714284,17049.5714285714,62.7142857142856,4.41428571428571,4.29642857142855
118011346,Rose Bay - Vaucluse - Watsons Bay,12564,65,3.8,12567,73,3.7,12565,81,4,12566,83,4.3,12570,73,4.3,12634,58,3.7,12665,83,3.5,12653.2857142857,75.9999999999996,12669.0714285714,76.5714285714282,3.81428571428572,3.79285714285714
118011347,Woollahra,7714,51,4.6,7795,39,4,7903,52,3.7,7987,58,3.8,8057,43,3.8,8160,46,3.5,8293,46,3,8361.42857142855,46.4285714285716,8455.03571428568,46.0714285714288,2.95714285714297,2.75357142857155
118021348,Coogee - Clovelly,25924,101,4.1,26281,91,4.1,26632,101,4,26951,108,3.9,27296,102,3.9,27750,121,4.1,28173,103,4,28479.4285714285,113.428571428572,28849.0357142856,115.821428571428,3.95714285714286,3.94285714285715
118021350,Malabar - La Perouse - Chifley,22897,186,5.3,23263,193,5.6,23909,190,5.8,24473,209,5.9,25045,198,5.8,25751,183,5.6,26336,189,5.3,26871.857142857,192.142857142857,27458.607142857,192.035714285714,5.61428571428571,5.61428571428571
118021564,Kensington (NSW),13949,71,4.8,14596,50,4.5,15013,66,4.7,15335,61,4.4,15711,78,5,16336,66,5.1,16942,71,5.4,17291.2857142856,72.4285714285716,17761.1785714284,74.0000000000005,5.31428571428572,5.43214285714288
118021565,Kingsford,15115,76,4.9,15668,59,4.7,16021,72,4.8,16262,64,4.5,16427,55,4.3,16921,53,4,17165,64,3.9,17520.1428571428,54.0000000000009,17843.7857142857,51.6785714285725,3.74285714285719,3.56785714285718
118021566,Maroubra - North,10039,64,5.2,10155,70,5.3,10252,66,4.4,10380,110,4.7,10458,96,4.9,10543,104,5.4,10604,108,5.5,10729.7142857143,121.142857142855,10825.3214285714,129.357142857141,5.28571428571426,5.34285714285713
118021567,Maroubra - South,11448,89,5.4,11429,92,5.8,11411,80,5.8,11382,90,6,11350,86,5.8,11377,75,5.7,11377,83,5.6,11342.2857142857,78.4285714285711,11328.7857142857,76.7857142857142,5.78571428571428,5.79999999999999
118021568,Maroubra - West,10365,51,4.7,10471,48,4.2,10519,44,4,10653,39,3.6,10817,40,3.4,11003,45,3.5,11158,54,3.9,11246.7142857142,45.7142857142858,11380.3214285714,45.6785714285716,3.2714285714286,3.11428571428576
118021569,Randwick - North,17383,142,6.1,17530,158,6.5,17652,171,6.6,17757,150,6.7,17849,138,6.4,18018,137,5.9,18045,172,6.4,18199,154.714285714285,18311.8214285714,155.25,6.3,6.28214285714285
118021570,Randwick - South,12710,56,5.2,13060,62,4.6,13398,66,4.8,13706,65,5,13959,51,4.5,14287,70,4.3,14455,73,4.1,14832.1428571427,70.7142857142853,15126.7857142856,72.5714285714285,4.04285714285714,3.89285714285717
119011354,Bass Hill - Georges Hall,21341,205,7.4,21750,213,7.1,22151,226,7.1,22477,227,7.3,22758,222,7.3,23152,219,7.2,23564,203,6.9,23896.1428571428,216.714285714285,24256.1428571428,216.785714285714,7.02857142857144,6.98928571428573
119011355,Chullora,5,0,,5,0,,160,0,,538,0,,942,0,,1253,4,,1454,0,,1711.7142857142,1.71428571428567,1984.03571428568,2,0,0
119011356,Condell Park,10863,60,4.6,11076,50,4.5,11289,53,4.6,11515,54,4.4,11841,49,4.3,12185,60,4.5,12554,55,4.4,12738,54.5714285714287,13018.1071428572,54.607142857143,4.34285714285714,4.31071428571428
119011357,Greenacre - Mount Lewis,25926,177,6.2,26262,173,6.1,26587,177,5.9,26916,185,6,27293,165,5.7,27617,168,5.6,27991,201,5.7,28314.7142857142,185.142857142856,28657.9642857142,186.928571428571,5.5,5.40357142857141
119011358,Padstow,16388,142,5.8,16566,175,5.9,16740,139,5.5,16926,175,5.8,17105,160,5.5,17320,149,5.7,17504,161,5.6,17681.4285714285,161,17867.8928571428,161.928571428571,5.54285714285716,5.50714285714287
119011359,Panania - Milperra - Picnic Point,25355,136,4.7,25683,139,4.8,26000,118,4.4,26360,122,4.1,26658,139,4,27080,120,4,27519,153,4.2,27799.857142857,137.285714285714,28154.9999999999,138.5,3.81428571428569,3.68928571428569
119011360,Revesby,15815,128,5.4,16100,143,5.4,16399,151,5.7,16628,136,5.7,16832,170,6,17107,140,5.9,17373,122,5.7,17625,140.714285714286,17879.3214285714,140.535714285714,6,6.07857142857142
119011361,Yagoona - Birrong,20089,111,4.8,20454,167,5.2,20849,135,5.4,21259,160,6,21611,166,5.9,21954,142,5.9,22394,131,5.5,22755.2857142857,150.428571428571,23136.6071428572,151.892857142856,6.09999999999997,6.24285714285713
119011571,Bankstown - North,16380,74,4.6,16567,53,4.5,16712,43,4,16859,54,3.4,17068,66,3.6,17340,83,4.2,17575,64,4.2,17712.5714285714,70,17908.5357142857,71.8928571428573,3.75714285714287,3.67857142857145
119011572,Bankstown - South,16314,63,4.2,16412,74,4.4,16503,75,4.7,16594,72,4.9,16658,91,5.2,16863,81,5.3,16936,88,5.5,17029,92.7142857142862,17133.3928571428,96.4642857142862,5.77142857142854,5.99285714285708
119021362,Belmore - Belfield,19693,122,5.9,19746,126,5.8,19819,126,5.5,19856,155,5.8,19907,123,5.6,20058,135,5.6,20247,142,5.3,20242.8571428571,143.428571428571,20327.6428571428,146.107142857142,5.34285714285716,5.26785714285717
119021363,Canterbury (South) - Campsie,28922,129,4.6,29601,119,4.4,30314,146,4.4,31057,117,4.2,31951,167,4.4,32885,185,4.6,33592,185,5.1,34362.4285714284,195.571428571424,35155.8214285714,207.03571428571,4.79999999999998,4.86785714285713
