code,name,2012_Population,2012_Deaths,2012_Standardised_death_rate,2013_Population,2013_Deaths,2013_Standardised_death_rate,2014_Population,2014_Deaths,2014_Standardised_death_rate,2015_Population,2015_Deaths,2015_Standardised_death_rate,2016_Population,2016_Deaths,2016_Standardised_death_rate,2017_Population,2017_Deaths,2017_Standardised_death_rate,2018_Population,2018_Deaths,2018_Standardised_death_rate,2019_Population,2019_Deaths,2020_Population,2020_Deaths,2019_Standardised_death_rate,2020_Standardised_death_rate
306031159,Innisfail,9598,103,7.7,9581,104,7.7,9564,96,7.3,9564,100,6.9,9575,116,7,9610,125,7.4,9627,113,7.6,9610.71428571428,121.285714285714,9616.28571428571,124.571428571428,7.2,7.15714285714286
306031160,Johnstone,7921,44,6.3,7954,57,5.9,7982,53,5.6,8009,70,6.3,8029,33,5.4,8071,49,5.1,8140,47,4.1,8149.14285714284,46.5714285714287,8182.64285714284,45.6071428571429,4.32857142857142,4.02857142857135
306031161,Tully,10592,70,6.5,10640,81,6.5,10706,92,6.4,10729,80,6.4,10872,85,6.2,11035,86,5.7,11065,88,5.7,11144.8571428571,91.2857142857138,11229.6785714286,93.3214285714275,5.60000000000002,5.44999999999999
306031162,Wooroonooran,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,3,0,0,0
306031163,Yarrabah,2643,6,,2686,14,,2694,12,,2695,15,,2702,12,,2800,11,,2848,14,,2845.57142857143,14.5714285714284,2875.96428571428,15.2142857142856,0,0
306041164,Daintree,6247,31,7.2,6314,45,7.5,6380,35,5.5,6412,39,5.6,6482,34,4.8,6575,52,5.4,6584,43,5.3,6661.28571428571,46.8571428571422,6719.67857142857,48.6071428571422,4.38571428571436,4.00714285714298
306041165,Port Douglas,5039,36,8.7,5171,38,8.8,5277,29,7.4,5357,42,7.1,5475,37,7,5555,32,7,5548,41,6.8,5702.14285714281,37.9999999999999,5791.17857142852,38.392857142857,6.15714285714284,5.81071428571431
306051166,Atherton,10551,94,5.4,10677,95,5.6,10819,108,5.9,10856,94,5.9,10943,98,5.8,11062,115,5.6,11233,111,5.7,11297.2857142857,113.714285714285,11402.2857142857,116.607142857142,5.8142857142857,5.84285714285714
306051167,Herberton,5687,43,8.4,5720,42,7.4,5741,44,6.3,5732,54,6.6,5709,60,7.7,5688,52,7.8,5693,63,7.8,5698.85714285714,64.8571428571422,5696.07142857143,68.2857142857138,7.48571428571431,7.50000000000003
306051168,Kuranda,4575,22,,4581,21,,4578,28,,4597,26,6.9,4600,21,6.5,4633,30,6.1,4661,22,5.1,4658.42857142857,25.8571428571428,4672.14285714286,26.25,8.37142857142862,9.5857142857144
306051169,Malanda - Yungaburra,8365,84,7.4,8430,73,6.9,8500,81,6.7,8523,67,6.1,8565,97,6.9,8612,86,6.6,8640,79,6.6,8698.42857142855,84.8571428571427,8743.21428571428,85.8214285714285,6.34285714285716,6.24285714285716
306051170,Mareeba,10671,80,5.8,10920,99,6.5,11026,96,6.5,11185,80,6.2,11348,102,5.8,11499,91,5.4,11698,104,5.7,11844,101.999999999999,12006.8928571428,104.214285714285,5.52857142857147,5.41428571428574
307011171,Balonne,4787,30,6.5,4776,30,5.7,4726,31,6,4610,31,5.9,4461,36,6.7,4374,33,7.1,4334,29,7.1,4234.28571428574,32.5714285714286,4147.57142857145,32.8571428571428,7.18571428571426,7.37499999999994
307011172,Chinchilla,7416,56,7,7586,63,7.3,7853,54,7,8037,56,6.9,8288,51,6.1,8501,61,6.2,8616,52,5.9,8880.28571428568,53.4285714285713,9089.74999999994,52.75,5.71428571428567,5.48571428571427
307011173,Goondiwindi,6601,58,8.6,6588,41,7.5,6573,42,6.5,6523,59,6.4,6496,40,6.5,6538,51,6.6,6528,42,6,6493,43.2857142857151,6478.85714285715,42.2142857142862,5.50000000000011,5.15714285714296
307011174,Inglewood - Waggamba,4310,36,6.6,4332,27,6.1,4298,29,5.6,4281,32,5.3,4287,34,6,4276,33,5.8,4248,45,6.2,4246.14285714286,39.9999999999995,4235.10714285715,41.571428571428,5.74285714285718,5.69285714285718
307011175,Miles - Wandoan,3850,32,5.5,3916,35,6.2,4033,26,6.3,4085,27,6.1,4136,33,5.8,4224,17,,4225,31,5.6,4330.42857142855,24.1428571428578,4396.28571428571,23.0000000000005,3.2714285714286,2.82142857142867
307011176,Roma,7155,44,7.6,7306,39,6.8,7266,54,6,7225,45,5.8,7025,36,5.8,6984,46,5.6,6973,44,5.5,6929,43.4285714285714,6877.89285714286,43.2857142857143,4.88571428571424,4.56785714285718
307011177,Roma Region,6269,38,6.4,6209,38,6.1,6168,30,5.1,6067,36,4.9,5901,42,4.8,5896,44,5.3,5849,39,5.3,5743.71428571429,41.9999999999996,5666.82142857145,42.9642857142853,4.67142857142864,4.48571428571432
307011178,Tara,4343,34,8.5,4374,38,8.8,4354,36,7.7,4326,36,7.6,4272,32,,4241,22,6.4,4177,41,6.6,4177.28571428573,32.0000000000002,4147.07142857144,31.464285714286,3.91428571428582,3.26428571428573
307021179,Crows Nest - Rosalie,8297,70,6,8393,73,5.7,8501,73,5.7,8539,97,6.3,8661,74,6.2,8756,91,6.5,8802,93,6.1,8907.14285714284,96.7142857142853,8992.89285714284,100.499999999999,6.41428571428571,6.5
307021180,Jondaryan,7622,53,6.9,7724,74,7.4,7736,58,7,7698,85,7.9,7620,67,7.6,7634,59,7.5,7585,76,7.1,7601.71428571429,74.2857142857138,7587.17857142857,75.9999999999996,7.54285714285713,7.59285714285713
307021181,Millmerran,3243,25,,3273,31,,3363,22,,3347,31,,3345,25,,3330,24,6.4,3325,28,5.7,3366.85714285714,26.2857142857143,3379.07142857143,26.2142857142857,6,7.06785714285707
307021182,Pittsworth,5500,33,5.6,5593,48,5.8,5674,43,5.4,5745,53,5.8,5856,41,5.3,5906,54,5.1,5913,47,4.5,6033.42857142858,52.9999999999996,6106.53571428571,54.8571428571422,4.67142857142858,4.50000000000006
307021183,Wambo,17285,128,6.3,17536,105,6.3,17502,102,6.1,17419,138,6.1,17354,113,6,17314,113,6,17306,111,5.3,17312.4285714286,112.285714285715,17293.5357142857,111.428571428572,5.48571428571427,5.3535714285714
307031184,Clifton - Greenmount,4694,28,4.6,4795,17,,4830,52,5.3,4857,33,5.5,4972,40,6.8,5043,36,5.5,5068,44,5.7,5145.57142857141,46.2857142857138,5208.42857142855,48.9285714285716,7.02857142857147,7.59285714285716
307031185,Southern Downs - East,4189,30,5,4209,26,5,4255,30,4.7,4261,43,5.5,4280,33,6,4293,38,6.2,4273,31,5.4,4315,37.2857142857142,4330.89285714286,38.3571428571427,6.09999999999997,6.27499999999998
307031186,Southern Downs - West,4558,51,6.9,4616,53,7.1,4624,30,6.5,4662,45,6.2,4683,42,5.6,4679,55,6.6,4700,37,5.9,4733.2857142857,41.0000000000002,4755.10714285714,40.0714285714287,5.70000000000005,5.52500000000009
307031187,Stanthorpe,5550,73,6.5,5562,80,6.7,5573,73,6.6,5541,90,6.9,5512,70,6.5,5532,87,7.1,5459,90,7.1,5476.42857142857,89.2857142857138,5462.35714285715,91.4999999999991,7.12857142857138,7.2178571428571
307031188,Stanthorpe Region,5604,29,5,5702,37,5.3,5729,36,5.1,5773,42,5.8,5857,36,5.5,5926,34,4.9,6020,27,4.1,6062.14285714283,32.7142857142857,6127.2857142857,32.2857142857142,4.65714285714287,4.54642857142858
307031189,Warwick,15194,146,6.6,15496,138,6.5,15484,140,6.5,15417,158,6.5,15395,142,6.4,15351,136,6.2,15380,138,5.7,15413.7142857143,138.857142857143,15420.1071428571,137.928571428572,5.85714285714286,5.7357142857143
308011190,Central Highlands - East,7841,20,,7819,23,,7808,18,,7683,15,,7569,27,,7532,8,,7586,21,,7465.71428571429,16.2857142857147,7409.35714285715,15.6428571428573,0,0
308011191,Central Highlands - West,9087,44,5.5,9017,38,5.1,8807,39,5.2,8498,38,4.9,8253,35,5,8132,40,5.1,7945,22,4.2,7712.71428571432,27.1428571428587,7507.35714285722,24.7857142857156,4.41428571428577,4.26785714285717
308011192,Emerald,13797,28,7.5,13932,41,7.8,13973,44,6.9,13951,35,7,13867,47,7.4,13944,53,7.5,14119,43,7.4,14066.7142857143,51.8571428571431,14098.2857142857,54.4285714285716,7.3,7.28571428571429
308031205,Berserker,7474,53,6,7493,60,6.1,7278,44,6,7176,59,6.2,7018,46,5.7,6900,47,6.1,6807,55,5.9,6671.28571428574,49.4285714285716,6548.17857142861,48.7857142857145,5.91428571428572,5.89285714285715
308031206,Bouldercombe,1942,12,,1933,11,,1945,6,,1936,8,,1883,16,,1814,9,,1800,12,,1789.57142857144,11.4285714285714,1763.64285714287,11.6428571428572,0,0
308031207,Emu Park,4872,70,8.1,5102,66,8.4,5283,50,7.8,5403,65,7.3,5545,62,6.7,5618,73,7.3,5749,72,7.4,5928.14285714278,70,6068.32142857136,71.1428571428573,6.80000000000001,6.60714285714289
308031208,Frenchville - Mount Archer,9611,48,4.7,9662,42,4.3,9421,35,3.8,9329,37,3.6,9253,41,3.7,9130,49,4.2,9054,42,4.3,8936.71428571429,42.2857142857144,8833.03571428571,42.357142857143,3.87142857142858,3.81785714285715
308031209,Glenlee - Rockyview,4639,13,,4736,15,,4971,15,,5052,9,,5067,12,,5145,16,,5137,11,,5307.85714285713,12.0000000000001,5393.85714285713,11.7500000000001,0,0
308031210,Gracemere,9750,36,6.6,10474,41,6.1,11261,39,5.4,11743,67,6.5,11957,52,6.6,12136,60,7.1,12393,51,6.3,13094.7142857142,63.1428571428569,13521.4642857142,66.5714285714284,6.70000000000002,6.78214285714287
308031211,Lakes Creek,5279,23,6.1,5331,23,5.3,5232,28,4.7,5145,22,4.5,4968,41,6,4953,32,6.7,4888,28,7.3,4800.42857142858,34.7142857142853,4722.10714285716,36.3571428571422,6.89999999999998,7.17499999999996
308031212,Mount Morgan,3118,50,10.2,3150,39,9.2,3123,40,,3075,35,,2961,47,,2931,42,,2928,31,8.5,2873.7142857143,34.2857142857147,2831.92857142858,32.7142857142862,0.628571428571377,-0.210714285714403
308031213,Norman Gardens,9488,60,6.9,9773,48,6.5,10020,53,6.4,10161,75,6.8,10339,66,7.4,10574,65,7.6,10676,66,6.9,10930.8571428571,71.1428571428569,11126.75,73.4642857142853,7.3857142857143,7.5
308031214,Park Avenue,5462,37,6.5,5517,55,6.5,5505,46,5.6,5365,51,6,5173,41,5.7,5128,51,6.2,5065,45,6.1,4987.71428571429,48.1428571428569,4905.53571428571,48.535714285714,5.84285714285717,5.78214285714289
308031215,Parkhurst - Kawana,6887,66,8.7,6967,61,8,7035,58,7.7,7055,58,7.3,7040,80,7.8,7099,72,8.2,7171,71,8.5,7196.42857142857,75,7236.46428571428,77.1071428571431,8.01428571428573,8.0107142857143
308031216,Rockhampton - West,6366,57,6.7,6294,55,6.3,6233,49,5.8,6128,58,6.2,6079,63,6.7,6001,66,7.6,6002,59,7.8,5895.85714285716,64.1428571428573,5830.42857142858,65.6428571428573,7.69999999999993,7.94285714285712
308031217,Rockhampton City,3753,28,7.1,3686,44,7.5,3541,34,7.8,3447,32,8.1,3346,29,7,3326,31,6.6,3253,44,7.6,3133.85714285716,37,3047.60714285716,37.6071428571429,7.22857142857144,7.18928571428572
308031218,Rockhampton Region - East,3253,15,,3331,14,,3425,11,,3465,14,,3476,22,3.8,3451,11,,3405,19,,3507.57142857142,17.5714285714284,3534.24999999999,18.1785714285713,1.08571428571429,1.22142857142859
308031219,Rockhampton Region - North,4212,27,6.3,4267,30,,4294,18,,4289,18,,4307,22,,4319,19,,4328,25,4.8,4354.42857142857,19.2857142857144,4371.03571428572,18.4285714285716,0.942857142857292,0.782142857143015
308031220,Rockhampton Region - West,2833,20,,2872,14,,2943,7,,2958,14,,2947,4,,2905,10,,2884,20,,2937.85714285714,11.1428571428573,2945.82142857143,10.7500000000002,0,0
308031221,Shoalwater Bay,12,0,,13,0,,14,0,,15,0,,16,0,,16,0,,16,0,,17.4285714285711,0,18.1428571428569,0,0,0
308031222,The Range - Allenstown,8592,124,9.3,8593,123,8.7,8599,123,8.5,8508,115,8.4,8358,126,8.6,8309,132,9.1,8146,115,9.3,8136.85714285716,121.714285714286,8060.17857142861,121.5,8.97142857142858,9.00357142857143
308031223,Yeppoon,17393,118,5.6,17830,123,5.6,18076,100,5.2,18355,115,5,18539,133,4.8,18741,140,5,19003,131,5.1,19293.1428571428,138,19547.2499999999,141.785714285715,4.74285714285716,4.6321428571429
308041528,Banana,8800,53,5.6,8806,54,5.4,8760,40,5.3,8744,45,4.9,8687,52,4.9,8553,48,5.1,8424,49,5.1,8438.14285714287,47.0000000000002,8377.17857142858,46.5714285714288,4.82857142857145,4.73928571428573
308041529,Biloela,6052,43,7.8,6142,39,7,6100,35,6,5963,43,6.2,5883,36,6.5,5872,35,7,5803,40,7.5,5758.7142857143,36.4285714285716,5705.00000000003,35.8571428571429,6.80000000000002,6.78571428571431
308051530,Agnes Water - Miriam Vale,5811,30,5.2,6023,29,4.8,6072,35,5.1,6074,31,5,6112,28,,6125,43,5,6213,30,4.4,6268.57142857141,35.285714285714,6320.35714285713,36.0357142857142,3.20000000000016,2.94642857142867
308051531,Boyne Island - Tannum Sands,10001,26,6.7,10011,34,5.6,10044,34,4.7,10072,32,5,10073,36,5.2,9985,41,5.8,10060,56,6.9,10057.1428571429,52.1428571428569,10062.6428571429,55.9285714285716,5.91428571428574,5.96785714285717
308051532,Callemondah,46,0,,40,0,,33,0,,27,0,,20,0,,20,0,,20,0,,10.7142857142844,0,6.03571428571377,0,0,0
308051533,Clinton - New Auckland,11877,39,6.5,12726,69,6.8,13470,65,8.7,13961,66,9.2,13880,67,8.6,14015,75,8.1,14124,71,8.4,14826,80.2857142857129,15173.4642857142,84.2142857142844,9.21428571428567,9.50714285714275
308051534,Gladstone,6405,66,8.2,6463,38,8,6439,34,7.3,6363,36,5.2,6164,27,4.8,6106,37,5.4,6103,39,5.8,6021.14285714287,26.7142857142871,5953.46428571429,23.5000000000018,4.25714285714298,3.72500000000014
308051535,Gladstone Hinterland,11047,26,5.3,11478,30,4.2,11880,37,3.5,11991,34,3.7,11951,39,4.1,11811,33,3.9,11636,41,3.9,12042.5714285714,41.8571428571422,12132,43.7499999999995,3.48571428571438,3.33571428571435
308051536,Kin Kora - Sun Valley,4140,6,,4080,13,,3954,8,,3851,10,,3687,12,,3597,10,,3591,10,,3431.42857142858,11.2857142857141,3328.57142857142,11.642857142857,0,0
308051537,South Trees,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0
308051538,Telina - Toolooa,5917,29,11.6,6102,27,11.4,6292,35,10.9,6340,36,10.5,6330,33,10.7,6395,31,10.6,6482,32,,6596.71428571426,34,6679.53571428568,34.5357142857145,4.1571428571433,2.85000000000036
308051539,West Gladstone,5277,27,5.9,5235,29,5.6,5183,17,,5018,18,,4800,24,3.7,4760,22,4,4750,21,4.2,4587.00000000003,19.0000000000005,4482.92857142858,18.1071428571431,2.68571428571437,2.52142857142866
309011224,Broadbeach Waters,8036,49,4.2,8124,50,4.2,8097,47,4.4,8087,46,4.2,8146,49,4.1,8243,43,3.9,8241,43,3.8,8267.99999999999,42.428571428572,8300.21428571428,41.3571428571431,3.81428571428572,3.73928571428573
309011225,Burleigh Heads,8661,82,5.8,8788,82,5.4,8942,94,5.7,9019,77,5.4,9129,83,5.4,9203,81,5.1,9280,89,5.5,9413.71428571426,85.1428571428571,9516.3571428571,85.4285714285713,5.21428571428575,5.15000000000003
309011226,Burleigh Waters,14572,103,4.8,14605,103,4.5,14600,122,4.7,14584,116,5,14632,107,5,14685,117,4.6,14803,118,4.4,14766.5714285714,120.571428571428,14798.1785714286,122.642857142856,4.61428571428571,4.58928571428572
309011227,Mermaid Beach - Broadbeach,11389,73,4.6,11720,57,4.4,11976,60,4.6,12285,68,4.2,12636,75,4.5,12932,75,4.7,13141,69,4.5,13488.4285714286,73.7142857142858,13786.2857142858,75.1071428571431,4.52857142857143,4.53571428571429
309011228,Mermaid Waters,12499,64,4.3,12542,83,4.3,12585,75,4.3,12579,70,4.6,12608,74,4.4,12703,78,4.4,12787,68,4.3,12787.4285714286,73.2857142857141,12830.6071428571,73.3214285714284,4.41428571428571,4.425
309011229,Miami,6804,38,5,6939,38,4.9,7030,39,5.1,7105,33,4.8,7150,32,4.5,7232,40,4.6,7362,31,4.4,7428.85714285713,32.4285714285716,7513.85714285713,31.5714285714287,4.32857142857142,4.22142857142856
309021230,Coolangatta,5720,80,7.3,5813,70,6.9,5889,76,6.1,6026,65,5.4,6223,88,5.6,6325,78,5.5,6383,80,5.9,6532.28571428574,80.7142857142853,6651.82142857145,81.7142857142856,5.02857142857147,4.76071428571424
309021231,Currumbin - Tugun,11073,48,3.8,11245,64,3.8,11359,61,4.2,11489,88,4.8,11758,103,5.1,11907,113,5.9,12160,95,5.9,12282.1428571428,121.857142857141,12460.1428571428,131.892857142855,6.41428571428583,6.82142857142867
309021232,Currumbin Waters,9346,95,6.3,9365,71,6.1,9375,94,6.1,9415,93,5.8,9436,69,5.7,9512,87,5.3,9614,91,5.2,9603.14285714285,85.0000000000002,9644.53571428571,84.8214285714288,5.02857142857152,4.83928571428578
309021233,Elanora,12168,86,4.3,12296,67,4.4,12305,78,4.6,12345,76,4.3,12507,64,4.1,12738,70,3.9,12925,80,3.8,12948.7142857143,70.7142857142862,13068.6071428571,69.7857142857149,3.7714285714286,3.66428571428574
309021234,Palm Beach,14735,88,4.8,14853,89,4.6,14958,88,4.5,15103,64,4.1,15187,69,3.7,15384,77,3.5,15585,69,3.5,15663.7142857143,63.4285714285725,15800.8928571429,59.857142857144,3.1142857142857,2.86785714285713
309031235,Arundel,10080,71,7.9,10361,80,7.7,10532,86,7,10568,89,7,10636,74,6.4,10775,105,6.5,10746,101,6.5,10946.8571428571,104.857142857141,11051.5,109.428571428571,5.97142857142853,5.71428571428567
309031236,Biggera Waters,7110,95,7.5,7617,67,7.5,8076,93,8.3,8423,75,7.4,8891,64,6.9,9335,85,6.3,9764,90,6.7,10204.1428571426,80.1428571428575,10640.3214285711,79.8571428571432,6.34285714285716,6.12142857142862
309031237,Coombabah,10266,78,4.1,10399,96,4.3,10489,100,4.8,10497,128,5.5,10594,103,5.3,10605,116,5.5,10625,129,5.2,10724.1428571428,135.142857142855,10781.0714285714,142.142857142855,5.84285714285704,6.06428571428563
309031238,Labrador,17554,196,7,17918,171,6.9,18197,199,7,18692,184,6.6,19002,220,7,19316,232,7.2,19517,235,7.7,19955.1428571427,242.428571428569,20294.0714285714,251.714285714283,7.44285714285712,7.53928571428571
309031239,Paradise Point - Hollywell,9135,55,4.5,9305,61,4.3,9459,60,4,9563,61,4.1,9746,62,4,9825,72,4.1,9885,51,3.7,10070.7142857143,61.9999999999998,10198.4642857143,62.4285714285712,3.70000000000005,3.60000000000002
309031240,Runaway Bay,9360,82,4.6,9367,78,4.3,9376,90,4.2,9374,96,4.3,9389,88,4.5,9443,119,4.7,9531,93,4.7,9502.57142857142,108.428571428571,9526.78571428571,112.464285714285,4.67142857142856,4.72142857142856
309041241,Guanaba - Springbrook,4134,14,,4166,12,,4188,18,,4246,15,,4340,15,,4368,21,,4426,21,5.5,4471.42857142857,21.7142857142853,4522.57142857142,22.9999999999995,3.14285714285711,3.73214285714266
309041242,Tamborine - Canungra,13730,65,4.9,13880,85,5,14234,70,5,14387,65,4.9,14630,76,4.5,14935,76,4.2,15274,82,4.3,15458.2857142857,79.7142857142849,15713.2142857143,81.1071428571422,4.12857142857149,3.98928571428576
309051243,Currumbin Valley - Tallebudgera,7145,44,5.4,7175,54,5.1,7282,42,5.3,7389,65,5.7,7429,69,6.3,7546,69,7.5,7595,53,7.2,7685.71428571429,68.5714285714284,7765.67857142858,71.5714285714284,7.67142857142846,8.07142857142844
309051244,Mudgeeraba - Bonogin,18251,59,6.3,18365,57,5.4,18544,58,4.3,18707,74,4.4,18832,70,4.4,19238,79,4.6,19487,85,4.5,19595.1428571428,88,19800.2142857142,92.7857142857156,3.85714285714295,3.61071428571438
